id,page,section,label,current_text,client_new_text,status,notes,content_path
HOME.FEEDBACK.TESTIMONIALS_TESTIMONIAL_01.QUOTE,HOME,FEEDBACK,QUOTE,"QualFM transformed how we manage our facilities. Their team is responsive, professional, and truly understands our needs.",,KEEP,,home.feedback.testimonials[id=TESTIMONIAL_01].quote
HOME.FEEDBACK.TESTIMONIALS_TESTIMONIAL_01.AUTHOR,HOME,FEEDBACK,AUTHOR,Sarah O'Connell,,KEEP,,home.feedback.testimonials[id=TESTIMONIAL_01].author
HOME.FEEDBACK.TESTIMONIALS_TESTIMONIAL_01.COMPANY,HOME,FEEDBACK,COMPANY,"Operations Manager, Northpoint Business Campus",,KEEP,,home.feedback.testimonials[id=TESTIMONIAL_01].company
HOME.FEEDBACK.TESTIMONIALS_TESTIMONIAL_02.QUOTE,HOME,FEEDBACK,QUOTE,"Reliable, efficient, and always going above and beyond. We couldn't ask for a better FM partner.",,KEEP,,home.feedback.testimonials[id=TESTIMONIAL_02].quote
HOME.FEEDBACK.TESTIMONIALS_TESTIMONIAL_02.AUTHOR,HOME,FEEDBACK,AUTHOR,Michael Byrne,,KEEP,,home.feedback.testimonials[id=TESTIMONIAL_02].author
HOME.FEEDBACK.TESTIMONIALS_TESTIMONIAL_02.COMPANY,HOME,FEEDBACK,COMPANY,"Facilities Director, CareWell Health Group",,KEEP,,home.feedback.testimonials[id=TESTIMONIAL_02].company
HOME.FEEDBACK.TESTIMONIALS_TESTIMONIAL_03.QUOTE,HOME,FEEDBACK,QUOTE,The level of service and attention to detail from QualFM is outstanding. They've made facility management effortless.,,KEEP,,home.feedback.testimonials[id=TESTIMONIAL_03].quote
HOME.FEEDBACK.TESTIMONIALS_TESTIMONIAL_03.AUTHOR,HOME,FEEDBACK,AUTHOR,Niamh Gallagher,,KEEP,,home.feedback.testimonials[id=TESTIMONIAL_03].author
HOME.FEEDBACK.TESTIMONIALS_TESTIMONIAL_03.COMPANY,HOME,FEEDBACK,COMPANY,"Property Manager, Connacht Retail Estates",,KEEP,,home.feedback.testimonials[id=TESTIMONIAL_03].company
HOME.TRUST.TITLE,HOME,TRUST,TITLE,Trust and Compliance,,KEEP,,home.trust.title
HOME.TRUST.POINTS_POINT_01.TEXT,HOME,TRUST,TEXT,Safe Electric QC Registered,,KEEP,,home.trust.points[id=POINT_01].text
HOME.TRUST.POINTS_POINT_02.TEXT,HOME,TRUST,TEXT,F-Gas Registered,,KEEP,,home.trust.points[id=POINT_02].text
HOME.TRUST.POINTS_POINT_03.TEXT,HOME,TRUST,TEXT,Fully Qualified Mechanical and Electrical Trades Personnel,,KEEP,,home.trust.points[id=POINT_03].text
HOME.TRUST.POINTS_POINT_04.TEXT,HOME,TRUST,TEXT,Nationwide Coverage,,KEEP,,home.trust.points[id=POINT_04].text
HOME.TRUST.CLOSING,HOME,TRUST,CLOSING,"Established in December 2024 by Richard Seaver, QualFM combines 25 years of sector experience with a practical service model focused on customer care, quality workmanship and dependable compliance.",,KEEP,,home.trust.closing
HOME.TRUST.LINKTEXT,HOME,TRUST,LINKTEXT,Read our story,,KEEP,,home.trust.linkText
HOME.CLIENTS.TITLE,HOME,CLIENTS,TITLE,Our Clients,,KEEP,,home.clients.title
HOME.CLIENTS.INTRO,HOME,CLIENTS,INTRO,Selected client sites (click logo to visit).,,KEEP,,home.clients.intro
ABOUT.HERO.TITLE,ABOUT,HERO,TITLE,About QualFM,,KEEP,,about.hero.title
ABOUT.HERO.SUBTITLE,ABOUT,HERO,SUBTITLE,"Quality, compliance and value across every site we support",,KEEP,,about.hero.subtitle
ABOUT.INTRO.TITLE,ABOUT,INTRO,TITLE,Who We Are,,KEEP,,about.intro.title
ABOUT.INTRO.PARAGRAPHS_PARA_01.TEXT,ABOUT,INTRO,TEXT,"QualFM Ltd was established in December 2024 by Richard Seaver. With 25 years of delivery experience across telecoms, healthcare and pharmaceutical environments, QualFM was built to provide practical facilities and maintenance support with strong customer service and dependable technical execution.",,KEEP,,about.intro.paragraphs[id=PARA_01].text
ABOUT.INTRO.PARAGRAPHS_PARA_02.TEXT,ABOUT,INTRO,TEXT,"Our goals are to deliver high-quality services with an emphasis on top-class customer service, quality workmanship and compliance through a dedicated team of professionals and technicians.",,KEEP,,about.intro.paragraphs[id=PARA_02].text
ABOUT.INTRO.PARAGRAPHS_PARA_03.TEXT,ABOUT,INTRO,TEXT,We work closely with customers to build a meaningful understanding of their business and align delivery with strategic goals.,,KEEP,,about.intro.paragraphs[id=PARA_03].text
ABOUT.VALUES.TITLE,ABOUT,VALUES,TITLE,Our Values,,KEEP,,about.values.title
ABOUT.VALUES.CARDS_VALUE_01.TITLE,ABOUT,VALUES,TITLE,Quality,,KEEP,,about.values.cards[id=VALUE_01].title
ABOUT.VALUES.CARDS_VALUE_01.TEXT,ABOUT,VALUES,TEXT,Consistent workmanship and service delivery standards on every site.,,KEEP,,about.values.cards[id=VALUE_01].text
ABOUT.VALUES.CARDS_VALUE_02.TITLE,ABOUT,VALUES,TITLE,Compliance,,KEEP,,about.values.cards[id=VALUE_02].title
ABOUT.VALUES.CARDS_VALUE_02.TEXT,ABOUT,VALUES,TEXT,"Regulatory alignment, safety, and audit-ready operational controls.",,KEEP,,about.values.cards[id=VALUE_02].text
ABOUT.VALUES.CARDS_VALUE_03.TITLE,ABOUT,VALUES,TITLE,Value,,KEEP,,about.values.cards[id=VALUE_03].title
ABOUT.VALUES.CARDS_VALUE_03.TEXT,ABOUT,VALUES,TEXT,"Practical solutions that protect performance, cost, and continuity.",,KEEP,,about.values.cards[id=VALUE_03].text
ABOUT.APPROACH.TITLE,ABOUT,APPROACH,TITLE,Our Approach,,KEEP,,about.approach.title
ABOUT.APPROACH.POINTS_POINT_01.TEXT,ABOUT,APPROACH,TEXT,Established in December 2024 by Richard Seaver,,KEEP,,about.approach.points[id=POINT_01].text
ABOUT.APPROACH.POINTS_POINT_02.TEXT,ABOUT,APPROACH,TEXT,"25 years of delivery experience across telecoms, healthcare and pharmaceutical sectors",,KEEP,,about.approach.points[id=POINT_02].text
ABOUT.APPROACH.POINTS_POINT_03.TEXT,ABOUT,APPROACH,TEXT,"Built around quality service, top-class customer care and dependable compliance",,KEEP,,about.approach.points[id=POINT_03].text
ABOUT.APPROACH.POINTS_POINT_04.TEXT,ABOUT,APPROACH,TEXT,Strong client alignment through practical understanding of operational goals,,KEEP,,about.approach.points[id=POINT_04].text
ABOUT.SCOPE.TITLE,ABOUT,SCOPE,TITLE,Scope We Serve,,KEEP,,about.scope.title
ABOUT.SCOPE.PARAGRAPHS_PARA_01.TEXT,ABOUT,SCOPE,TEXT,"QualFM supports commercial offices, telecom and critical environments, healthcare, pharmaceutical facilities and other regulated or public-facing sites nationwide.",,KEEP,,about.scope.paragraphs[id=PARA_01].text
ABOUT.SCOPE.PARAGRAPHS_PARA_02.TEXT,ABOUT,SCOPE,TEXT,"Detailed technical capabilities, service line items and compliance credentials are listed on the Services page to avoid duplication across the website.",,KEEP,,about.scope.paragraphs[id=PARA_02].text
ABOUT.CTA.TITLE,ABOUT,CTA,TITLE,Ready to Work Together?,,KEEP,,about.cta.title
ABOUT.CTA.BUTTON,ABOUT,CTA,BUTTON,Get in Touch,,KEEP,,about.cta.button
SERVICES.HERO.TITLE,SERVICES,HERO,TITLE,Services,,KEEP,,services.hero.title
SERVICES.HERO.SUBTITLE,SERVICES,HERO,SUBTITLE,"Practical, compliance-led facilities support designed for business continuity",,KEEP,,services.hero.subtitle
SERVICES.INTRO.TITLE,SERVICES,INTRO,TITLE,What We Do Best,,KEEP,,services.intro.title
SERVICES.INTRO.BODY,SERVICES,INTRO,BODY,"Facilities management professionals to manage office space, critical telecom and healthcare environments and soft services nationwide. We provide meaningful support aligned to client operations, from reactive response through to structured preventative maintenance.",,KEEP,,services.intro.body
SERVICES.INTRO.NOTE,SERVICES,INTRO,NOTE,This page is the primary source for detailed service scope and compliance credentials.,,KEEP,,services.intro.note
SERVICES.GROUPS_GROUP_01.TITLE,SERVICES,GROUPS_GROUP_01,TITLE,Integrated Facilities & Maintenance Management,,KEEP,,services.groups[id=GROUP_01].title
SERVICES.GROUPS_GROUP_01.SUMMARY,SERVICES,GROUPS_GROUP_01,SUMMARY,Let your problem be ours. A turnkey outsourced model for clients transitioning from in-house maintenance to dedicated FM support.,,KEEP,,services.groups[id=GROUP_01].summary
SERVICES.GROUPS_GROUP_01.POINTS_POINT_01.TEXT,SERVICES,GROUPS_GROUP_01,TEXT,"Planned, preventative and reactive maintenance nationwide",,KEEP,,services.groups[id=GROUP_01].points[id=POINT_01].text
SERVICES.GROUPS_GROUP_01.POINTS_POINT_02.TEXT,SERVICES,GROUPS_GROUP_01,TEXT,Dedicated management and technician teams for seamless transition from in-house to outsourced,,KEEP,,services.groups[id=GROUP_01].points[id=POINT_02].text
SERVICES.GROUPS_GROUP_01.POINTS_POINT_03.TEXT,SERVICES,GROUPS_GROUP_01,TEXT,Turnkey facilities and maintenance solution with compliance-focused delivery,,KEEP,,services.groups[id=GROUP_01].points[id=POINT_03].text
SERVICES.GROUPS_GROUP_02.TITLE,SERVICES,GROUPS_GROUP_02,TITLE,Fitout Projects,,KEEP,,services.groups[id=GROUP_02].title
SERVICES.GROUPS_GROUP_02.SUMMARY,SERVICES,GROUPS_GROUP_02,SUMMARY,"Office fitouts, plant/equipment retrofit and energy upgrades in commercial, pharmaceutical and healthcare facilities, including live environments.",,KEEP,,services.groups[id=GROUP_02].summary
SERVICES.GROUPS_GROUP_02.POINTS_POINT_01.TEXT,SERVICES,GROUPS_GROUP_02,TEXT,"Project management from initial client engagement, through design, completion and handover",,KEEP,,services.groups[id=GROUP_02].points[id=POINT_01].text
SERVICES.GROUPS_GROUP_02.POINTS_POINT_02.TEXT,SERVICES,GROUPS_GROUP_02,TEXT,PSDS and PSCS resources available,,KEEP,,services.groups[id=GROUP_02].points[id=POINT_02].text
SERVICES.GROUPS_GROUP_02.POINTS_POINT_03.TEXT,SERVICES,GROUPS_GROUP_02,TEXT,Fitout project values delivered up to EUR 1.5m,,KEEP,,services.groups[id=GROUP_02].points[id=POINT_03].text
SERVICES.GROUPS_GROUP_03.TITLE,SERVICES,GROUPS_GROUP_03,TITLE,Electrical Services,,KEEP,,services.groups[id=GROUP_03].title
SERVICES.GROUPS_GROUP_03.SUMMARY,SERVICES,GROUPS_GROUP_03,SUMMARY,"Inspection, design, installation and diagnostics delivered by qualified electrical professionals nationwide.",,KEEP,,services.groups[id=GROUP_03].summary
SERVICES.GROUPS_GROUP_03.POINTS_POINT_01.TEXT,SERVICES,GROUPS_GROUP_03,TEXT,"Periodic inspections, reporting and thermal imaging",,KEEP,,services.groups[id=GROUP_03].points[id=POINT_01].text
SERVICES.GROUPS_GROUP_03.POINTS_POINT_02.TEXT,SERVICES,GROUPS_GROUP_03,TEXT,"Electrical system design, modifications and installation",,KEEP,,services.groups[id=GROUP_03].points[id=POINT_02].text
SERVICES.GROUPS_GROUP_03.POINTS_POINT_03.TEXT,SERVICES,GROUPS_GROUP_03,TEXT,"Lighting retrofit, lighting application and selection",,KEEP,,services.groups[id=GROUP_03].points[id=POINT_03].text
SERVICES.GROUPS_GROUP_03.POINTS_POINT_04.TEXT,SERVICES,GROUPS_GROUP_03,TEXT,"Access control, fire alarm and Vesda smoke detection",,KEEP,,services.groups[id=GROUP_03].points[id=POINT_04].text
SERVICES.GROUPS_GROUP_03.POINTS_POINT_05.TEXT,SERVICES,GROUPS_GROUP_03,TEXT,"Emergency lighting, air conditioning and ventilation systems",,KEEP,,services.groups[id=GROUP_03].points[id=POINT_05].text
SERVICES.GROUPS_GROUP_03.POINTS_POINT_06.TEXT,SERVICES,GROUPS_GROUP_03,TEXT,"Equipment breakdown response, repairs, renewals and parts/components",,KEEP,,services.groups[id=GROUP_03].points[id=POINT_06].text
SERVICES.GROUPS_GROUP_03.POINTS_POINT_07.TEXT,SERVICES,GROUPS_GROUP_03,TEXT,"Fault finding, diagnosis, troubleshooting and pre-planned maintenance",,KEEP,,services.groups[id=GROUP_03].points[id=POINT_07].text
SERVICES.GROUPS_GROUP_03.POINTS_POINT_08.TEXT,SERVICES,GROUPS_GROUP_03,TEXT,"Filter cleaning/changing, site surveys and asset registers",,KEEP,,services.groups[id=GROUP_03].points[id=POINT_08].text
SERVICES.GROUPS_GROUP_04.TITLE,SERVICES,GROUPS_GROUP_04,TITLE,Mechanical Services,,KEEP,,services.groups[id=GROUP_04].title
SERVICES.GROUPS_GROUP_04.SUMMARY,SERVICES,GROUPS_GROUP_04,SUMMARY,"Critical mechanical maintenance and asset reliability for operational continuity, water safety and compliance.",,KEEP,,services.groups[id=GROUP_04].summary
SERVICES.GROUPS_GROUP_04.POINTS_POINT_01.TEXT,SERVICES,GROUPS_GROUP_04,TEXT,"Plumbing services, pumps/pressurisation systems and lift maintenance",,KEEP,,services.groups[id=GROUP_04].points[id=POINT_01].text
SERVICES.GROUPS_GROUP_04.POINTS_POINT_02.TEXT,SERVICES,GROUPS_GROUP_04,TEXT,"Boiler maintenance, sprinkler systems and gas fire suppression",,KEEP,,services.groups[id=GROUP_04].points[id=POINT_02].text
SERVICES.GROUPS_GROUP_04.POINTS_POINT_03.TEXT,SERVICES,GROUPS_GROUP_04,TEXT,"Air handling units, filtration, extract/supply air fans",,KEEP,,services.groups[id=GROUP_04].points[id=POINT_03].text
SERVICES.GROUPS_GROUP_04.POINTS_POINT_04.TEXT,SERVICES,GROUPS_GROUP_04,TEXT,Diesel fuel storage and polishing systems,,KEEP,,services.groups[id=GROUP_04].points[id=POINT_04].text
SERVICES.GROUPS_GROUP_04.POINTS_POINT_05.TEXT,SERVICES,GROUPS_GROUP_04,TEXT,Water treatment and sterilization of water systems,,KEEP,,services.groups[id=GROUP_04].points[id=POINT_05].text
SERVICES.GROUPS_GROUP_04.POINTS_POINT_06.TEXT,SERVICES,GROUPS_GROUP_04,TEXT,Maintenance and corrosion control of closed loop systems,,KEEP,,services.groups[id=GROUP_04].points[id=POINT_06].text
SERVICES.GROUPS_GROUP_04.POINTS_POINT_07.TEXT,SERVICES,GROUPS_GROUP_04,TEXT,Independent lab analysis and certification,,KEEP,,services.groups[id=GROUP_04].points[id=POINT_07].text
SERVICES.GROUPS_GROUP_04.POINTS_POINT_08.TEXT,SERVICES,GROUPS_GROUP_04,TEXT,Legionella risk management and closed-loop heating/cooling treatment,,KEEP,,services.groups[id=GROUP_04].points[id=POINT_08].text
SERVICES.GROUPS_GROUP_04.POINTS_POINT_09.TEXT,SERVICES,GROUPS_GROUP_04,TEXT,"Fall arrest and prevention systems, plus asset registers",,KEEP,,services.groups[id=GROUP_04].points[id=POINT_09].text
SERVICES.GROUPS_GROUP_05.TITLE,SERVICES,GROUPS_GROUP_05,TITLE,Soft Services & Building Fabric,,KEEP,,services.groups[id=GROUP_05].title
SERVICES.GROUPS_GROUP_05.SUMMARY,SERVICES,GROUPS_GROUP_05,SUMMARY,Integrated building fabric and soft service support to maintain site standards across portfolios.,,KEEP,,services.groups[id=GROUP_05].summary
SERVICES.GROUPS_GROUP_05.POINTS_POINT_01.TEXT,SERVICES,GROUPS_GROUP_05,TEXT,Roof maintenance and drainage services,,KEEP,,services.groups[id=GROUP_05].points[id=POINT_01].text
SERVICES.GROUPS_GROUP_05.POINTS_POINT_02.TEXT,SERVICES,GROUPS_GROUP_05,TEXT,Security and boundary fencing,,KEEP,,services.groups[id=GROUP_05].points[id=POINT_02].text
SERVICES.GROUPS_GROUP_05.POINTS_POINT_03.TEXT,SERVICES,GROUPS_GROUP_05,TEXT,"Landscaping, power washing and pest control services",,KEEP,,services.groups[id=GROUP_05].points[id=POINT_03].text
SERVICES.GROUPS_GROUP_05.POINTS_POINT_04.TEXT,SERVICES,GROUPS_GROUP_05,TEXT,Painting and decorating,,KEEP,,services.groups[id=GROUP_05].points[id=POINT_04].text
SERVICES.GROUPS_GROUP_05.POINTS_POINT_05.TEXT,SERVICES,GROUPS_GROUP_05,TEXT,Furniture upholstery and upholstery cleaning,,KEEP,,services.groups[id=GROUP_05].points[id=POINT_05].text
SERVICES.GROUPS_GROUP_05.POINTS_POINT_06.TEXT,SERVICES,GROUPS_GROUP_05,TEXT,"Window cleaning, glazing services and locksmith services",,KEEP,,services.groups[id=GROUP_05].points[id=POINT_06].text
SERVICES.GROUPS_GROUP_05.POINTS_POINT_07.TEXT,SERVICES,GROUPS_GROUP_05,TEXT,Shopfront repair,,KEEP,,services.groups[id=GROUP_05].points[id=POINT_07].text
SERVICES.GROUPS_GROUP_06.TITLE,SERVICES,GROUPS_GROUP_06,TITLE,Compliance Auditing,,KEEP,,services.groups[id=GROUP_06].title
SERVICES.GROUPS_GROUP_06.SUMMARY,SERVICES,GROUPS_GROUP_06,SUMMARY,Independent building compliance and regulatory control inspections and reporting.,,KEEP,,services.groups[id=GROUP_06].summary
SERVICES.GROUPS_GROUP_06.POINTS_POINT_01.TEXT,SERVICES,GROUPS_GROUP_06,TEXT,Audit-ready inspections and reporting,,KEEP,,services.groups[id=GROUP_06].points[id=POINT_01].text
SERVICES.GROUPS_GROUP_06.POINTS_POINT_02.TEXT,SERVICES,GROUPS_GROUP_06,TEXT,Reduces regulatory risk of non-compliance through compliance building control,,KEEP,,services.groups[id=GROUP_06].points[id=POINT_02].text
SERVICES.GROUPS_GROUP_06.POINTS_POINT_03.TEXT,SERVICES,GROUPS_GROUP_06,TEXT,Clear prioritisation of corrective actions to support governance,,KEEP,,services.groups[id=GROUP_06].points[id=POINT_03].text
SERVICES.CREDENTIALS.TITLE,SERVICES,CREDENTIALS,TITLE,Standards And Credentials,,KEEP,,services.credentials.title
SERVICES.CREDENTIALS.ITEMS_ITEM_01.TEXT,SERVICES,CREDENTIALS,TEXT,Safe Electric QC Registered,,KEEP,,services.credentials.items[id=ITEM_01].text
SERVICES.CREDENTIALS.ITEMS_ITEM_02.TEXT,SERVICES,CREDENTIALS,TEXT,F-Gas Registered,,KEEP,,services.credentials.items[id=ITEM_02].text
SERVICES.CREDENTIALS.ITEMS_ITEM_03.TEXT,SERVICES,CREDENTIALS,TEXT,Fully Qualified Mechanical & Electrical Trades Personnel,,KEEP,,services.credentials.items[id=ITEM_03].text
SERVICES.CREDENTIALS.ITEMS_ITEM_04.TEXT,SERVICES,CREDENTIALS,TEXT,Detailed planned preventative/proactive maintenance schedules,,KEEP,,services.credentials.items[id=ITEM_04].text
SERVICES.CREDENTIALS.FLAGS_FLAG_01.TEXT,SERVICES,CREDENTIALS,TEXT,Mechanical & electrical maintenance,,KEEP,,services.credentials.flags[id=FLAG_01].text
SERVICES.CREDENTIALS.FLAGS_FLAG_02.TEXT,SERVICES,CREDENTIALS,TEXT,Fitouts and project delivery,,KEEP,,services.credentials.flags[id=FLAG_02].text
SERVICES.CREDENTIALS.FLAGS_FLAG_03.TEXT,SERVICES,CREDENTIALS,TEXT,Compliance and risk reduction,,KEEP,,services.credentials.flags[id=FLAG_03].text
SERVICES.CTA.TITLE,SERVICES,CTA,TITLE,Need Reliable FM Support?,,KEEP,,services.cta.title
SERVICES.CTA.BODY,SERVICES,CTA,BODY,"Speak with our team about your site, project or portfolio requirements.",,KEEP,,services.cta.body
SERVICES.CTA.BUTTON,SERVICES,CTA,BUTTON,Contact QualFM,,KEEP,,services.cta.button
CONTACT.HERO.TITLE,CONTACT,HERO,TITLE,Contact,,KEEP,,contact.hero.title
CONTACT.HERO.SUBTITLE,CONTACT,HERO,SUBTITLE,Talk to QualFM about your facilities and maintenance requirements,,KEEP,,contact.hero.subtitle
CONTACT.DIRECT.TITLE,CONTACT,DIRECT,TITLE,Direct Contact,,KEEP,,contact.direct.title
CONTACT.DIRECT.INTRO,CONTACT,DIRECT,INTRO,"Reach our team directly for service enquiries, planned works and project requests.",,KEEP,,contact.direct.intro
CONTACT.DIRECT.NAME,CONTACT,DIRECT,NAME,Richard Seaver,,KEEP,,contact.direct.name
CONTACT.DIRECT.PHONE,CONTACT,DIRECT,PHONE,+353 86 821 6215,,KEEP,,contact.direct.phone
CONTACT.DIRECT.EMAILPRIMARY,CONTACT,DIRECT,EMAILPRIMARY,richard@qualfm.ie,,KEEP,,contact.direct.emailPrimary
CONTACT.DIRECT.EMAILSECONDARY,CONTACT,DIRECT,EMAILSECONDARY,service@qualfm.ie,,KEEP,,contact.direct.emailSecondary
CONTACT.DIRECT.ADDRESS,CONTACT,DIRECT,ADDRESS,"Dublin, Ireland",,KEEP,,contact.direct.address
CONTACT.FORM.TITLE,CONTACT,FORM,TITLE,Send An Enquiry,,KEEP,,contact.form.title
CONTACT.FORM.INTRO,CONTACT,FORM,INTRO,This form opens your email app and prepares the message to service@qualfm.ie.,,KEEP,,contact.form.intro
CONTACT.FORM.NAMELABEL,CONTACT,FORM,NAMELABEL,Name,,KEEP,,contact.form.nameLabel
CONTACT.FORM.EMAILLABEL,CONTACT,FORM,EMAILLABEL,Email,,KEEP,,contact.form.emailLabel
CONTACT.FORM.MESSAGELABEL,CONTACT,FORM,MESSAGELABEL,Message,,KEEP,,contact.form.messageLabel
CONTACT.FORM.BUTTON,CONTACT,FORM,BUTTON,Email QualFM,,KEEP,,contact.form.button
CONTACT.FORM.SUBJECTTEMPLATE,CONTACT,FORM,SUBJECTTEMPLATE,Website enquiry from {name},,KEEP,,contact.form.subjectTemplate
CONTACT.FORM.SUBJECTFALLBACK,CONTACT,FORM,SUBJECTFALLBACK,Website enquiry from QualFM visitor,,KEEP,,contact.form.subjectFallback
PRIVACYPOLICY.HERO.TITLE,PRIVACYPOLICY,HERO,TITLE,Privacy Policy,,KEEP,,privacyPolicy.hero.title
PRIVACYPOLICY.HERO.SUBTITLE,PRIVACYPOLICY,HERO,SUBTITLE,How QualFM handles information submitted through this website.,,KEEP,,privacyPolicy.hero.subtitle
PRIVACYPOLICY.SECTIONS_SECTION_01.TITLE,PRIVACYPOLICY,SECTIONS_SECTION_01,TITLE,Information We Collect,,KEEP,,privacyPolicy.sections[id=SECTION_01].title
PRIVACYPOLICY.SECTIONS_SECTION_01.BODY,PRIVACYPOLICY,SECTIONS_SECTION_01,BODY,"We collect contact details that you voluntarily provide through enquiries, such as your name, email address, phone number, and message content.",,KEEP,,privacyPolicy.sections[id=SECTION_01].body
PRIVACYPOLICY.SECTIONS_SECTION_02.TITLE,PRIVACYPOLICY,SECTIONS_SECTION_02,TITLE,How We Use Information,,KEEP,,privacyPolicy.sections[id=SECTION_02].title
PRIVACYPOLICY.SECTIONS_SECTION_02.BODY,PRIVACYPOLICY,SECTIONS_SECTION_02,BODY,"We use submitted information to respond to your enquiries, discuss service requirements, and provide requested information about QualFM services.",,KEEP,,privacyPolicy.sections[id=SECTION_02].body
PRIVACYPOLICY.SECTIONS_SECTION_03.TITLE,PRIVACYPOLICY,SECTIONS_SECTION_03,TITLE,Data Sharing,,KEEP,,privacyPolicy.sections[id=SECTION_03].title
